NO_OF_FRAMES	6345
NO_OF_CAMERAS	9
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-05, 22:12:12.664	27737.25340530
DATA_INCLUDED	6D
BODY_NAMES	drone	hunter
BODY_FILTERS	No filter	No filter
TRANSLATION_ORIGIN	Global	Global	
ROTATION_ORIGIN	Global	Global	
Frame	Time	drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		hunter X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	1021.51745	-14.03248	304.02964	0.73148	0.10008	-0.57421	1.35359	0.99995	-0.01000	-0.00187	0.01002	0.99987	0.01275	0.00175	-0.01277	0.99992		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2	0.01000	1021.70195	-13.63571	303.82847	0.86281	0.08219	-0.50321	1.28545	0.99996	-0.00876	-0.00157	0.00878	0.99985	0.01505	0.00143	-0.01506	0.99989		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
3	0.02000	1021.75282	-13.39927	303.65727	0.64264	0.07053	-0.48971	1.46711	0.99996	-0.00853	-0.00133	0.00855	0.99990	0.01120	0.00123	-0.01122	0.99994		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
4	0.03000	1021.08828	-15.88692	304.40353	0.77342	0.09915	-0.50422	1.70905	0.99996	-0.00878	-0.00185	0.00880	0.99987	0.01348	0.00173	-0.01350	0.99991		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
5	0.04000	1020.65513	-15.26853	304.27495	0.73099	0.09113	-0.42511	0.69926	0.99997	-0.00740	-0.00169	0.00742	0.99989	0.01275	0.00159	-0.01276	0.99992		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
6	0.05000	1020.87606	-13.99091	303.99464	0.75356	0.14655	-0.29487	1.11036	0.99998	-0.00511	-0.00263	0.00515	0.99990	0.01314	0.00256	-0.01315	0.99991		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
7	0.06000	1020.14841	-13.21264	303.18520	0.69665	0.14559	-0.18166	1.61432	0.99999	-0.00314	-0.00258	0.00317	0.99992	0.01215	0.00254	-0.01216	0.99992		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
8	0.07000	1019.98438	-12.82804	303.08560	0.67166	0.16676	-0.13456	2.10244	0.99999	-0.00231	-0.00294	0.00235	0.99993	0.01172	0.00291	-0.01172	0.99993		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
9	0.08000	1020.00662	-12.81497	303.11570	0.61873	0.12185	-0.13639	2.36503	0.99999	-0.00236	-0.00215	0.00238	0.99994	0.01079	0.00213	-0.01080	0.99994		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
10	0.09000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
